类别,校验项,数值,单位,结论
超参数,最终日负载指数衰减天数,10.000000,天,通过
超参数,最终日光伏指数衰减天数,7.000000,天,通过
超参数,最终日价格水平权重,1,无量纲,通过
超参数,最终日价格形态衰减天数,7,天,通过
超参数,最终日的日末储电量惩罚系数（当日价格预测最大值）,1.615551,元/kWh,通过
预测,负载 MAE,28.930297,kWh/时段,参考
预测,负载 RMSE,38.880044,kWh/时段,参考
预测,负载 0.8 分位数损失,8.673528,kWh/时段,参考
预测,光伏 MAE,33.481716,kWh/时段,参考
预测,光伏 RMSE,65.724344,kWh/时段,参考
预测,光伏 0.2 分位数损失,9.518200,kWh/时段,参考
预测,电价 MAE,0.049201,元/kWh,参考
预测,电价 RMSE,0.067840,元/kWh,参考
预测,负载使用附件1冷启动先验的正式天数,0,天,参考
预测,光伏使用附件1冷启动先验的正式天数,0,天,参考
预测,电价使用附件1参考曲线的正式天数,0,天,参考
约束,最大计划电量平衡残差,0.000000,kWh,通过
约束,最大计划状态转移残差,0.000000,kWh,通过
约束,最大实际电量平衡残差,0.000000,kWh,通过
约束,最大实际状态转移残差,0.000000,kWh,通过
约束,最大跨日储电量连续误差,0.000000,kWh,通过
约束,实际最小储电量,1200.000000,kWh,通过
约束,实际最大储电量,10800.000000,kWh,通过
约束,12 月 31 日 24:00 实际终端储电量区间越界量,0.000000,kWh,通过
数量,计划购电总量,21997080.852300,kWh,参考
数量,紧急购电总量,127984.353576,kWh,参考
数量,紧急购电 10 分钟时段数,2811,个,参考
数量,连续紧急购电区间数,1260,个,参考
数量,弃光总量,1415185.894964,kWh,参考
数量,未利用计划购电总量,1558832.491578,kWh,参考
费用,计划购电费（实际电价结算）,14114938.288615,元,参考
费用,计划购电费（预测电价口径）,14016715.092837,元,参考
费用,价格预测导致的计划购电费偏差（实际−预测）,98223.195778,元,参考
费用,紧急购电费,621923.450322,元,参考
费用,334天总费用,14736861.738938,元,参考
费用,紧急购电费占比,0.042202,比例,参考
边界,实际充电量超过可充盈余的最大值,0.000000,kWh,通过
边界,实际放电量超过实际负载缺口的最大值,0.000000,kWh,通过
超参数,年末储电量下限,5400.000000,kWh,参考
超参数,年末储电量上限,6600.000000,kWh,参考
费用,1月初始化费用,2071030.674209,元,参考
费用,365天总费用,16807892.413147,元,参考
求解,最大MIP相对间隙,0,比例,通过
边界,年末计划储电量,6000.000000,kWh,参考
边界,年末实际储电量,5936.605556,kWh,参考
预测,净负荷 MAE,56.401338,kWh/时段,参考
预测,净负荷 0.8 分位数损失,15.186390,kWh/时段,参考
预测,净负荷实际值不超过预测值的时段比例,0.785325,比例,参考
执行,日内滚动求解次数,48096,次,通过
执行,日内滚动求解失败次数,0,次,通过
执行,计划充电量与实际充电量之差总量,635305.075728,kWh,参考
执行,计划放电量与实际放电量之差总量,506313.405112,kWh,参考
边界,年末实际储电量减计划储电量,-63.394444,kWh,参考
超参数验证,12月31日前滚动验证：负载衰减 3 天的 pinball 损失,6.955089,kWh/时段,参考
超参数验证,12月31日前滚动验证：负载衰减 5 天的 pinball 损失,6.691149,kWh/时段,参考
超参数验证,12月31日前滚动验证：负载衰减 7 天的 pinball 损失,6.580046,kWh/时段,参考
超参数验证,12月31日前滚动验证：负载衰减 10 天的 pinball 损失,6.469637,kWh/时段,参考
超参数验证,12月31日前滚动验证：负载衰减 14 天的 pinball 损失,6.736381,kWh/时段,参考
超参数验证,12月31日前滚动验证：负载衰减 21 天的 pinball 损失,7.146145,kWh/时段,参考
超参数验证,12月31日前滚动验证：负载衰减 28 天的 pinball 损失,7.530912,kWh/时段,参考
超参数验证,12月31日前滚动验证：负载衰减 42 天的 pinball 损失,8.193245,kWh/时段,参考
超参数验证,12月31日前滚动验证：负载衰减 56 天的 pinball 损失,9.421188,kWh/时段,参考
超参数验证,12月31日前滚动验证：负载衰减 84 天的 pinball 损失,12.938303,kWh/时段,参考
超参数验证,12月31日前滚动验证：光伏衰减 3 天的 pinball 损失,4.679039,kWh/时段,参考
超参数验证,12月31日前滚动验证：光伏衰减 5 天的 pinball 损失,4.452269,kWh/时段,参考
超参数验证,12月31日前滚动验证：光伏衰减 7 天的 pinball 损失,4.361219,kWh/时段,参考
超参数验证,12月31日前滚动验证：光伏衰减 10 天的 pinball 损失,4.490646,kWh/时段,参考
超参数验证,12月31日前滚动验证：光伏衰减 14 天的 pinball 损失,4.828926,kWh/时段,参考
超参数验证,12月31日前滚动验证：光伏衰减 21 天的 pinball 损失,5.436522,kWh/时段,参考
超参数验证,12月31日前滚动验证：光伏衰减 28 天的 pinball 损失,6.293990,kWh/时段,参考
超参数验证,12月31日前滚动验证：光伏衰减 42 天的 pinball 损失,8.405699,kWh/时段,参考
超参数验证,12月31日前滚动验证：光伏衰减 56 天的 pinball 损失,11.116082,kWh/时段,参考
超参数验证,12月31日前滚动验证：光伏衰减 84 天的 pinball 损失,16.954607,kWh/时段,参考
超参数验证,12月31日前滚动验证：水平1×形态7天 的电价 MAE,0.040941,元/kWh,参考
超参数验证,12月31日前滚动验证：水平1×形态14天 的电价 MAE,0.043647,元/kWh,参考
超参数验证,12月31日前滚动验证：水平1×形态21天 的电价 MAE,0.048700,元/kWh,参考
超参数验证,12月31日前滚动验证：水平1×形态28天 的电价 MAE,0.053900,元/kWh,参考
超参数验证,12月31日前滚动验证：水平0.6-0.3-0.1×形态7天 的电价 MAE,0.042393,元/kWh,参考
超参数验证,12月31日前滚动验证：水平0.6-0.3-0.1×形态14天 的电价 MAE,0.044727,元/kWh,参考
超参数验证,12月31日前滚动验证：水平0.6-0.3-0.1×形态21天 的电价 MAE,0.049470,元/kWh,参考
超参数验证,12月31日前滚动验证：水平0.6-0.3-0.1×形态28天 的电价 MAE,0.054446,元/kWh,参考
超参数验证,12月31日前滚动验证：水平0.5-0.3-0.2×形态7天 的电价 MAE,0.043536,元/kWh,参考
超参数验证,12月31日前滚动验证：水平0.5-0.3-0.2×形态14天 的电价 MAE,0.045704,元/kWh,参考
超参数验证,12月31日前滚动验证：水平0.5-0.3-0.2×形态21天 的电价 MAE,0.050259,元/kWh,参考
超参数验证,12月31日前滚动验证：水平0.5-0.3-0.2×形态28天 的电价 MAE,0.055145,元/kWh,参考
超参数验证,12月31日前滚动验证：水平0.25-0.25-0.25-0.25×形态7天 的电价 MAE,0.050577,元/kWh,参考
超参数验证,12月31日前滚动验证：水平0.25-0.25-0.25-0.25×形态14天 的电价 MAE,0.052098,元/kWh,参考
超参数验证,12月31日前滚动验证：水平0.25-0.25-0.25-0.25×形态21天 的电价 MAE,0.055787,元/kWh,参考
超参数验证,12月31日前滚动验证：水平0.25-0.25-0.25-0.25×形态28天 的电价 MAE,0.059935,元/kWh,参考
